date,KRW
1979-07-12 00:00:00,136965.53963
1979-07-13 00:00:00,135884.66592
1979-07-16 00:00:00,136407.39821
1979-07-17 00:00:00,137022.47971
1979-07-18 00:00:00,139995.31389000002
1979-07-19 00:00:00,137295.61661
1979-07-20 00:00:00,137825.37618000002
1979-07-23 00:00:00,138444.25457000002
1979-07-24 00:00:00,138353.96716
1979-07-25 00:00:00,136980.27466000002
1979-07-26 00:00:00,136509.945
1979-07-27 00:00:00,138632.61973
1979-07-30 00:00:00,138179.78984
1979-07-31 00:00:00,145048.80284000002
1979-08-01 00:00:00,141568.87011000002
1979-08-02 00:00:00,142649.93981
1979-08-03 00:00:00,140366.28656
1979-08-06 00:00:00,141538.65567
1979-08-07 00:00:00,140638.47825000001
1979-08-08 00:00:00,143089.70319
1979-08-09 00:00:00,144575.67763000002
1979-08-10 00:00:00,148864.1668
1979-08-13 00:00:00,150172.95471000002
1979-08-14 00:00:00,144950.82394
1979-08-15 00:00:00,148479.48801
1979-08-16 00:00:00,147342.47051
1979-08-17 00:00:00,148703.38614000002
1979-08-20 00:00:00,148634.43961
1979-08-21 00:00:00,149207.90124
1979-08-22 00:00:00,155040.77116
1979-08-23 00:00:00,153679.29160000003
1979-08-24 00:00:00,155581.43258000002
1979-08-27 00:00:00,155581.43258000002
1979-08-28 00:00:00,155211.20537
1979-08-29 00:00:00,153857.63201
1979-08-30 00:00:00,156632.93578
1979-08-31 00:00:00,153643.93757
1979-09-03 00:00:00,154726.85063
1979-09-04 00:00:00,157684.15253000002
1979-09-05 00:00:00,159818.39169000002
1979-09-06 00:00:00,165182.07738
1979-09-07 00:00:00,160302.19527000003
1979-09-10 00:00:00,163194.63462000003
1979-09-11 00:00:00,164628.52968
1979-09-12 00:00:00,165226.61658
1979-09-13 00:00:00,165502.48296000002
1979-09-14 00:00:00,173661.31800000003
1979-09-17 00:00:00,177565.09485000002
1979-09-18 00:00:00,187776.97947000002
1979-09-19 00:00:00,190862.82086
1979-09-20 00:00:00,189185.08899000002
1979-09-21 00:00:00,187808.46226000003
1979-09-24 00:00:00,190394.45126
1979-09-25 00:00:00,189757.45547000002
1979-09-26 00:00:00,184567.93082
1979-09-27 00:00:00,190950.85174
1979-09-28 00:00:00,191720.57290000003
1979-10-01 00:00:00,193719.37135000003
1979-10-02 00:00:00,212145.22474
1979-10-03 00:00:00,203862.05972000002
1979-10-04 00:00:00,191819.67222
1979-10-05 00:00:00,179182.76717
1979-10-08 00:00:00,187098.97258
1979-10-09 00:00:00,186031.90970000002
1979-10-10 00:00:00,200571.87104000003
1979-10-11 00:00:00,196560.63950000002
1979-10-12 00:00:00,190913.15107000002
1979-10-15 00:00:00,197737.08632
1979-10-16 00:00:00,196918.69526
1979-10-17 00:00:00,191603.58553
1979-10-18 00:00:00,188761.91596
1979-10-19 00:00:00,191849.68277
1979-10-22 00:00:00,195705.43194
1979-10-23 00:00:00,195109.28817
1979-10-24 00:00:00,195999.77277
1979-10-25 00:00:00,196921.49858
1979-10-26 00:00:00,189529.22879000002
1979-10-29 00:00:00,190044.11354000002
1979-10-30 00:00:00,193342.01079000003
1979-10-31 00:00:00,183783.84517000002
1979-11-01 00:00:00,184138.53001000002
1979-11-02 00:00:00,181370.75898
1979-11-05 00:00:00,183580.03383000003
1979-11-06 00:00:00,185604.53724
1979-11-07 00:00:00,187273.05239000003
1979-11-08 00:00:00,189159.33492000002
1979-11-09 00:00:00,187181.46966
1979-11-12 00:00:00,187111.85510000002
1979-11-13 00:00:00,184774.96481
1979-11-14 00:00:00,185039.47429
1979-11-15 00:00:00,181652.89611
1979-11-16 00:00:00,179976.40228
1979-11-19 00:00:00,179599.03374
1979-11-20 00:00:00,180295.31783
1979-11-21 00:00:00,183402.78678000002
1979-11-22 00:00:00,182528.87136000002
1979-11-23 00:00:00,181264.92046000002
1979-11-26 00:00:00,182654.63944000003
1979-11-27 00:00:00,183018.20064000002
1979-11-28 00:00:00,187159.27848
1979-11-29 00:00:00,189228.89399
1979-11-30 00:00:00,201557.69107000003
1979-12-03 00:00:00,205513.99568000002
1979-12-04 00:00:00,210587.95383
1979-12-05 00:00:00,208330.52391000002
1979-12-06 00:00:00,210730.0724
1979-12-07 00:00:00,210415.83256
1979-12-10 00:00:00,211397.11371
1979-12-11 00:00:00,214854.01535000003
1979-12-12 00:00:00,217902.97586
1979-12-13 00:00:00,221054.33445000002
1979-12-14 00:00:00,221993.69580000002
1979-12-17 00:00:00,222626.12182000003
1979-12-18 00:00:00,228861.27270000003
1979-12-19 00:00:00,238120.02226000003
1979-12-20 00:00:00,230597.29
